,text
30,"Голосую против Хуснулина! И всех кто с ним! Программа реновация ухудшает положение людей, уже проживающих в районах. Прошу остановить беспредел!"
31,"Хочу, чтобы наш район оставался зеленым, чистым и безопасным для детей."
32,Я за создание комфортных условий жизни в Свиблово!
33,"Надоел воровской фонд реновации--карманная коммерческая организация мэра Москвы. Этот фонд нагибает весь город. Этот фонд извратил само слово Ренова́ция (лат. renovatio — «обновление») — процесс улучшения, реконструкции, реставрации без разрушения целостности структуры. В каком районе Москвы  реноваторщики--желанные гости? Правильно! Ни в каком! Освободим наш город от фашистов реновации"
34,"Я хочу жить. В спокойном районе. Я против того, чтобы у моего поедъезда и вдоль школ пролегала трасса. Пробки есть уже сейчас. Если повысят население и без того маленького района, то мы будем выживать среди этих пробок. Проек составлен с нарушением всех возможных норм!!!!"
35,"Я категорически против этого проекта. Я против расширения дорог, - а по проекту они пройдут рядом с домами. Я против вырубки   деревьев и зеленых насаждений. Я против увеличения плотности населения и строительства многоэтажных монстров в моем родном районе."
36,"К сожалению сейчас застройщики поступают именно так. Заработать на строительстве дома, а дальше жители пусть живут как хотят. Плевать, что негде парковаться и инфраструктуры нет. "
37,"Я подписываю петицию, потому что живу в районе планируемой застройки и категорически ПРОТИВ!"
38,"Хочу жить в замечательном зелёном районе города,которых осталось к сожалению очень мало."
39,"Изначально, когда людей агитировали за реновацию, обещалось, что новые дома не будут превышать 14 этажей. Теперь все переиграли. Перестаньте патронить благополучные районы, там еще осталась природа, люди могут нормально дышать. Сколько можно уплотнять город? Мы же здесь не мыши в коробке и не муравьи! Вырубаете деревья, как  в последний день и везде застройка. Надоело уже, вы хоть замечаете, что по всем районам одно и то же и люди вынуждены защищаться?"
40,ПОДПИСАЛА! ПРОШУ И ВАС ПОДПИСАТЬ ПЕТИЦИЮ <br />http://chng.it/r96Tzskgxr
41,Проживаю в районе и не хотел бы наблюдать увеличения количества проживающих
42,"Я категорически потив этого проекта! И вообще хватит уже застраивать Москву! Такими темпами на территории города останутся только дома и дороги. Ни школ, ни деревьев, ни поликлинник. Власти Москвы, оставьте мой город в покое!"
43,я подписываюсь
44,"Это будет ужас, если случится((("
45,"Потому что аппетит приходит во время еды ! Неуважаемые засРойщики, когда Вы ...?  Строить чтобы продать, расширить дороги, чтоб построить еще,  и еще .."
46,"Категорически против увеличения численности жителей. В районе и так не достаточно поликлиник, садов, школ, а главное места под строительство. Я против уничтожения зеленой зоны района, проитив сноса пятиэтажек . "
47,"Я живу в Свиблово, на улице Седова, 13, корп. 1. Против реновации внутри Свиблово не возражаю. Ознакомился с предлагаемым проектом по реконструкции микрорайонов Свиблово. Требую проект в представленном на публичных слушаниях варианте отклонить полностью. В новом варианте проекта снизить плотность застройки и этажность новых домов до 6-14 этажей, как обещал мэр Москвы Собянин. Предусмотреть строительство новых школ, садов и поликлиники, которых не хватает уже при существующем количестве жителей. Нынешний проект предусматривает увеличение мест в школе и садиках всего на несколько десятков - при этом квартал ЖК &quot;Лайф Ботанический&quot; не учтён совсем, а там нет ни одного садика, школы или поликлиники. Требую привести в соответствие с нормами инсоляции высотность дома по адресу Седова, 9, корп. 1 - сейчас предусмотрена высота 70 м на расстоянии 30 метров от моего дома со стороны солнца. Эта &quot;скала&quot; навсегда скроет наш дом от солнечного света."
48,Из-за столь плотной застройки снизится качество жизни округа и его эко обстановка
49,Эти проекты погребут окончательно относительно зелёный пока ещё район в асфальтовых джунглях!
50,"Я против этого проекта. Потому что на схемах которые я вижу совсем не учтен масштаб. Невооруженным глазом видно , что  дорога из четырех полос не только вплотную приблизится к жилым домам, но и уничтожит деревья вдоль Яузы и дорога получается вплотную к Яузе пойдет. "
51,"Это мой район, я его люблю и не хочу что бы застраивался каждый пустой метр домами-гигантами, да ещё с вырубкой деревьев. Зачем строить новые дома, когда стоят пустые уже построенные! Нет мест в садах и школах, в поликлиник нет, да и врачей Неееет! Бабушкинская, Медведково, Свиблово зимой в постоянных пробках. Куда ещё уплотнять?"
52,"Подписал Вашу петицию!!! Прошу Вас и читающих этот комментарий, подпишите и мою петицию Предложение провести исследование на государственном уровне болезни Моргеллонов<br />https://clck.ru/Ecfkb<br />"
53,Нет застройке
54,Продолжаются преступные по нормам застройки под видом организации благоустроенного проживания!!! Мы -против!!!
55,Против градостроительной политики мэрии!
56,Против этого проекта
57,Против уничтожения моего зелёного района! 
58,"Новый план плохо учитывает неизбежное увеличение количества жителей. Количества дестких садов и школ на данный момент едва покрывает потребности населения. <br />Второй момент- вырубка зеленых насаждений. К сожалению,  мы видим печальный результат &quot;обновления&quot; садово-парковых зон. Подавляющее большинство едавно посаженных деревьев не приживается и засыхает. Таким образом количество зеленых зон уменьшается , что недопустимо для мегаполиса, по моему мнению"
59,люблю этот район!
60,Я хочу жить в чистом городе
61,Однозначно против! Район станет непригодным для жизни!
62,Я подписываюсь
63,"Я против, тк не хочу что бы зеленый уютный район превраался в бетонный муравейник"
64,Это безобразие. Уничтожили всю Москву
65,Я здесь живу!
66,"Я живу в другом районе. Бог миловал и в моем районе такого нет. Но в соседнем районе живёт моя тётя. Там похожая же ситуация (Домодедовская). Чудовищная застройка. Остановите этот кошмар!   Что будет, когда заселятся люди - страшно представить. Подписываю. "
67,"Подписал, боретесь за правое дело!<br />Прошу НЕРАВНОДУШНЫХ подписать петицию ПРОТИВ ДИСКРИМИНАЦИИ. Заранее благодарю.<br />http://chng.it/g4hKXfFvT8"
68,Я против сокращения зелёных насаждений и деревьев !
69,Уплотнение Свиблово и Бабушкинского недопустимо!
70,Против однозначно !!
71,"Не хочу жить на стройке, хочу сохранить свой район."
72,Я здесь<br /><br /> живу
73,"Я подписываюсь потому что хочу спасти этот район, и остановить корыстную политику администрации нашего города. Уже давно административные округа стали для властей  как коммерческие проекты!!! Город стал не для москвичей и их комфортного проживания, а дойной коровой для администрации города !!!"
74,"Категорически против застройки района. Готова подписать и подписаться еще много раз, чтобы противостоять губительным последствиям строительства дорог и многоэтажек в Свиблово.  "
75,"Почему громко на поекте говориться о том что строчться новые сад и школа и при этом не обращается внимание, что параллельно СНОСИТСЯ САД  т.е. по факту еа такой прирост жителей свиблово (не считая стройки ЖК лайф) мест увеличение в саду только на 65 малышей!!!! Это считается нормально??? У меня у реьенка уже в группе 32 человека, куда больше?? И школа- в 23 только пристройка к школе добавлчется! Это почему не учитыаается и закрываются глаза!!! Не надо сносить сад - надо без сноса новый строить!!   Нельзя решать проблемы одних за счёт других. Когда я подняла вчера вопрос, какого лешего у меня вокруг дома вырубают полностью всю зелень и лишают двора, мне проектировщики сказали: «а как же парковки для новых домов, у которых двор без машин? А как они выезжать будут?» А почему они должны ездить через мой двор? И их машины должны стоять перед моим подъездом и вместо нашей детской площадки? Почему я должна жить сначала 10 лет на стройке, а потом на дороге? Стройте так, чтобы устроило всех, тем более, что это вполне возможно. Это-то мы и требуем. Меньше будет жилых метров-меньше людей-меньше машин-меньше дорог под окном, больше деревьев, меньше толпы в метро, меньше детей в классах и садах. Да, меньше миллионов у застройщиков, но эти проблемы должны волновать горожан в последнюю очередь. Чай, не обнищают вконец. (С)"
76,Против застройки Свиблово
77,Согласна
78,"Люблю район Свиблово таким, какой он есть сейчас "
79,Категорически против уничтожения Свиблово под видом реновации
80,Против убийства города!
81,Руки прочь от городка Институт Пути!
82,"Хочу жить в нормальных человеческих условиях, а не в муравейник посреди каменных джунглей. "
83,Я против уплотнения! Не трожьте наш район!
84,ТИПОВОЙ ПРИМЕР ЖИЛИЩНО-СОЦИАЛЬНОГО ВАРВАРСТВА...
85,"Я подписываю, потому что это кошмарная идея!"
86,"Я против массовой застройки микрорайона, которая превратит район в транзитный муравейник с ограниченной социальной инфраструктурой, уничтожением зелёных зон и станет местом некомфортного проживания для всех жителей Свиблово.<br />"
